Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,CalReg,HIDDEN,BURSTMODE
USER_SCR2,0,120,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
USER_SCR3,0,122,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,
FLSHCNT_LOW,0,124,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
FLSHCNT_HIGH,0,126,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
PAGE_ID,253,0,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
BUF_CONFIG,253,2,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
BUF_LEN,253,4,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
BTN_CONFIG,253,6,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
DIO_INPUT_CONFIG,253,8,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
DIO_OUTPUT_CONFIG,253,10,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
WATERMARK_INT_CONFIG,253,12,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
ERROR_INT_CONFIG,253,14,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
IMU_SPI_CONFIG,253,16,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SPI_CONFIG,253,18,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
CLI_CONFIG,253,20,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_COMMAND,253,22,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
SYNC_FREQ,253,24,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR0,253,52,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR1,253,54,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR2,253,56,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
USER_SCR3,253,58,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
UTC_TIME_LWR,253,60,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
UTC_TIME_UPR,253,62,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
STATUS,253,64,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
FAULT_CODE,253,66,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
BUF_CNT,253,68,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
BUF_MAX_CNT,253,70,2,0,1,16,TRUE,FALSE,FALSE,none,FALSE,FALSE,
